STORENAME,SalesPerSqFt,log_SalesPerSqFt,SquareFootage,TotalPopulation,Older25Years,PovertyLevel,Avg_BasketValue,AvgItemsPerBasket,TotalTransactionsPerSqFt,Share_BEER,Share_LIQ,Share_WINE,Share_Weekday,Share_Weekend,Pred_log_OLS,Pred_Sales_OLS,Residual_OLS,ResidualPct_OLS,Pred_log_ENET,Pred_Sales_ENET,Residual_ENET
Goshen Crossing,1640.6535865369688,7.402849969803103,6477,24017,16306.9,2221.6,33.81504540912748,2.209120647628988,75.2328238381967,0.03753174154975516,0.7413305157042059,0.21448157734763648,0.6559464629963735,0.3381488928040947,7.31285205664193,1499.4476060654404,141.2059804715284,0.09417200034221519,7.334168690813708,1531.7538894367058,108.89969710026298
Hampden Lane,3077.3813679999844,8.031834309143386,5000,33045,24432.2,1414.3,50.6358123432736,2.8515239869156295,117.9626,0.04944658584804962,0.5869588529984232,0.3526186956494242,0.7094087176523121,0.28605132699952135,8.016341435674548,3030.071318467847,47.31004953213733,0.015613510231191395,7.859435768101957,2590.058569389911,487.3227986100733
Kensington,2737.805480412355,7.914911958917154,4850,28513,20338.8,1488,40.02120838017596,2.4008222241645893,121.89814432989691,0.07964346217308785,0.5720782292773758,0.3372661724377345,0.6848380757974785,0.3101992784411286,7.950228078132742,2836.2217568728584,-98.41627646050347,-0.034699781927141904,7.907814487893875,2718.4427797327326,19.36270067962232
King Farm,1278.148259351619,7.153167637091301,4010,20736,15123.6,1383.1,33.49305042214492,2.1855346733931045,60.517955112219454,0.041658405481751974,0.6720429944307758,0.27812344725981114,0.7136018540163188,0.28097267514413754,7.1025686766490175,1215.084227781696,63.06403156992292,0.051900954788175475,7.15328227429923,1278.2947910982255,-0.14653174660656987
Kingsview,1323.7497862068906,7.18822373540995,7250,30469,20646,2176.5,31.515368082646873,2.070001050820297,62.61958620689655,0.03022448575147184,0.7686619993019927,0.19553209032070545,0.6810019222353395,0.3125606949399586,7.317361840964015,1506.2250623172943,-182.47527611040368,-0.12114741725892508,7.179117130500185,1311.749643116638,12.00014309025255
Leisure World,1233.6820366666623,7.117758502435353,6000,29954,22005.3,2836,34.63193949545221,2.3348149118538757,58.669,0.055419101492901954,0.590111414472488,0.34739464918474094,0.6974448678241403,0.2967412475712175,7.125866329798171,1243.7251766461488,-10.043139979486568,-0.008075047581306567,7.1305535044560395,1249.5684172222475,-15.88638055558522
Montrose,3125.355503999981,8.047303316980171,5000,34925,25372,3490,39.90932998260765,2.402171331377041,136.1674,0.04516432252885892,0.6781845947724214,0.26636760232061035,0.6892848814296031,0.30529998868250435,8.20231180996537,3649.377229504472,-524.0217255044909,-0.14359209600692466,8.083223088035663,3239.658130805156,-114.3026268051749
Muddy Branch,1971.1239984374904,7.586359216608425,6400,29260,20443.4,1073.6,43.097630401213266,2.572627702314903,80.8596875,0.06382842912837151,0.6715528818135236,0.25626149190152914,0.7077876804901249,0.28739728916042817,7.569549262754208,1938.2664357612591,32.85756267623128,0.016952036144260215,7.403338400918038,1641.455128530552,329.6688699069384
Olney,2348.6250987654225,7.76158537156613,4050,18706,12666.7,820.8,38.438259314636554,2.3710781540450983,102.0367901234568,0.029062765605554007,0.7600939111037446,0.2025335558419414,0.697816711077817,0.29678837315867446,7.785967387499074,2406.5931303581,-57.96803159267756,-0.024087175709693785,7.663663537149386,2129.5448217322355,219.08027703318703
Poolesville,618.4789850000001,6.427263213890707,2000,5747,4149.5,403,32.79750682752221,2.0760174996685667,26.614,0,0.9850578189006696,3.1186184927528283e-4,0.7298152256539485,0.2619842531917232,6.416624141978961,611.9338215719301,6.545163428069941,0.010695868078114694,6.736508937063102,842.6139767587433,-224.13499175874324
Potomac,2807.9980353483497,7.940227065483189,3904,5391,3880.9,299,54.381151028102074,2.7718233003447676,97.14139344262296,0.0652269378081993,0.4948681228434075,0.430347049884722,0.6908888729360099,0.30266718839919293,7.9250277359088805,2765.6410620017627,42.35697334658698,0.015315426838481033,7.603485578412341,2005.1729159926172,802.8251193557326
Seneca Meadows,2048.850247692296,7.625034060010331,6500,20887,13780.4,1710.1,36.94899594928259,2.324026856809922,91.32815384615385,0.042395416696674536,0.6951287871314408,0.2556621458104231,0.675459464315648,0.3184154959236843,7.708622902998016,2227.472699154477,-178.6224514621813,-0.08019063557096988,7.532024792826873,1866.881727961725,181.96851973057096
Silver Spring,2161.959615053755,7.6787703185860945,4650,53006,39554.1,3596.2,36.50327777838281,2.4302894303983615,96.19548387096775,0.05939224068404197,0.711795624133394,0.22002298132112505,0.6964936900868426,0.29776834153132437,7.626237837637607,2051.3180928524926,110.64152220126243,0.05393679438931294,7.5918577347699845,1981.9921114179601,179.96750363579486
