STORENAME,SquareFootage,TotalPopulation,TotalSales,TotalTransactions,TotalBaskets,TotalSalesPerSqFt,TotalTransactionsPerSqFt,TotalBasketsPerSqFt,Avg_BasketValue,AvgBasketValue,AvgItemsPerBasket,Older25Years,PovertyLevel,Share_BEER,Share_LIQ,Share_MISC,Share_WINE,Share_Holiday,Share_Weekday,Share_Weekend
Kingsview,7250,30469,9597185.949999956,453992,304524,1323.7497862068906,62.61958620689655,42.00331034482759,31.515368082646873,31.515368082647015,2.070001050820297,20646,2176.5,0.03022448575147184,0.7686619993019927,0.005581424625830046,0.19553209032070545,0.006437382824701871,0.6810019222353395,0.3125606949399586
Leisure World,6000,29954,7402092.219999974,352014,213736,1233.6820366666623,58.669,35.62266666666667,34.63193949545221,34.631939495452336,2.3348149118538757,22005.3,2836,0.055419101492901954,0.590111414472488,0.007074834849868972,0.34739464918474094,0.005813884604642231,0.6974448678241403,0.2967412475712175
Montrose,5000,34925,15626777.519999905,680837,391557,3125.355503999981,136.1674,78.3114,39.90932998260765,39.90932998260789,2.402171331377041,25372,3490,0.04516432252885892,0.6781845947724214,0.010283480378109361,0.26636760232061035,0.005415129887892607,0.6892848814296031,0.30529998868250435
Muddy Branch,6400,29260,12615193.589999938,517502,292712,1971.1239984374904,80.8596875,45.73625,43.097630401213266,43.09763040121347,2.572627702314903,20443.4,1073.6,0.06382842912837151,0.6715528818135236,0.008357197156575716,0.25626149190152914,0.004815030349447071,0.7077876804901249,0.28739728916042817
Olney,4050,18706,9511931.649999961,413249,247460,2348.6250987654225,102.0367901234568,61.10123456790124,38.438259314636554,38.43825931463671,2.3710781540450983,12666.7,820.8,0.029062765605554007,0.7600939111037446,0.008309767448760018,0.2025335558419414,0.005394915763508466,0.697816711077817,0.29678837315867446
Poolesville,2000,5747,1236957.9700000002,53228,37715,618.4789850000001,26.614,18.8575,32.79750682752221,32.797506827522206,2.0760174996685667,4149.5,403,0,0.9850578189006696,0.014630319250055032,3.1186184927528283e-4,0.008200521154328308,0.7298152256539485,0.2619842531917232
Potomac,3904,5391,10962424.329999957,379240,201585,2807.9980353483497,97.14139344262296,51.635502049180324,54.381151028102074,54.38115102810229,2.7718233003447676,3880.9,299,0.0652269378081993,0.4948681228434075,0.009557889463671225,0.430347049884722,0.0064439386647971615,0.6908888729360099,0.30266718839919293
Seneca Meadows,6500,20887,13317526.609999923,593633,360430,2048.850247692296,91.32815384615385,55.45076923076923,36.94899594928259,36.9489959492828,2.324026856809922,13780.4,1710.1,0.042395416696674536,0.6951287871314408,0.006813650361461544,0.2556621458104231,0.006125039760667707,0.675459464315648,0.3184154959236843
Silver Spring,4650,53006,10053112.20999996,447309,275403,2161.959615053755,96.19548387096775,59.226451612903226,36.50327777838281,36.503277778382945,2.4302894303983615,39554.1,3596.2,0.05939224068404197,0.711795624133394,0.008789153861438909,0.22002298132112505,0.005737968381833084,0.6964936900868426,0.29776834153132437
Walnut Hill,4660,26189,7501615.329999973,325898,226258,1609.788697424887,69.9351931330472,48.55321888412017,33.15513851443915,33.155138514439265,1.6892352977574274,16896.5,3929.2,0.041718594760310174,0.7698655110858633,0.006873162343289614,0.18154273181053696,0.004763400738118097,0.693940027714004,0.301296571547878
Westbard,5000,33637,2199515.7300000004,86445,42627,439.9031460000001,17.289,8.5254,51.59912097966079,51.599120979660775,2.7655007389682598,24001.4,1500,0.08033788419417212,0.4704781129253392,0.011549392283727835,0.4376346105967608,0.0027073504948291497,0.6785709416135888,0.3187217078915821
Wheaton,3650,37940,6604333.349999981,314365,224828,1809.4063972602687,86.12739726027397,61.596712328767126,29.375048259113548,29.375048259113633,2.0099943067589447,25984.4,3733,1.9069297887575616e-5,0.8573859555408417,0.00568909956672615,0.13690587559454456,0.0060448705242899334,0.6685945705632802,0.32536055891242993
White Oak Town Center,5500,19753,5999206.679999985,299498,204846,1090.7648509090882,54.454181818181816,37.244727272727275,29.286423361940116,29.28642336194019,2.0410259414389347,13532.1,1858,0.050130286559822296,0.7590196709142215,0.006398364325064396,0.18445167820089184,0.005915053755074159,0.6551322365843212,0.33895270966060465
